IID	Population	Super_Population	sex	sim_age	PC1	PC2	PC3	PC4	PC5	sim_pheno_dict	sim_pheno_quant	score1	score2	score3
HG00119	GBR	EUR	1	23	-0.0123332	0.0255886	0.00847542	-0.0223707	-0.00178702	0	-0.506078417606849	-0.10797673426	-0.903253872	-1.9932120514
HG00120	GBR	EUR	2	34	-0.0123327	0.0254855	0.00819019	-0.0221136	-0.000809486	0	0.807654435975757	-0.052575084198	-0.886229988	-3.5255105712
HG00121	GBR	EUR	2	44	-0.0124226	0.0251524	0.00767526	-0.021636	-0.0017037	0	-0.735772200114036	-0.12224333664	-1.050323144	-1.7732803246
HG00122	GBR	EUR	2	66	-0.0122686	0.0254155	0.0083951	-0.0216636	-0.00192943	1	1.95140994013065	0.0020061499898	-0.721037036	-2.7224532946
HG00123	GBR	EUR	2	68	-0.0121503	0.0257687	0.00771715	-0.021916	1.0662e-05	0	0.640872593310913	0.029737246434	-0.653897584	-3.182080788
HG00125	GBR	EUR	2	72	-0.0119403	0.0239593	0.00792651	-0.0207245	0.00181748	0	1.04430825180191	-0.064045493088	-0.807278208	-1.873904816
HG00126	GBR	EUR	1	44	-0.0121111	0.0262622	0.00784263	-0.0219527	-0.00227065	0	1.30716025174107	0.11515757116	-0.54678424	-2.4323781012
HG00127	GBR	EUR	2	35	-0.0122256	0.0253238	0.00791411	-0.0207262	-0.00144658	1	1.88180139156702	-0.0899939331	-0.784150556	-1.5434825734
HG00128	GBR	EUR	2	51	-0.0122012	0.0254558	0.00713228	-0.0214904	-0.00131608	0	0.891735059658062	-0.063897080712	-0.814679376	-1.340454891
HG00129	GBR	EUR	1	56	-0.0123476	0.0255675	0.00770456	-0.0211845	-0.000352931	0	0.605703287655055	0.00029916451854	-0.690280672	-0.41305243632
HG00130	GBR	EUR	2	40	-0.0118799	0.0250377	0.00763779	-0.0211378	-0.000203946	0	-0.241314903493096	-0.065072516826	-0.835100452	-1.418672886
HG00131	GBR	EUR	1	32	-0.0122526	0.0251855	0.00811715	-0.0221562	-0.000426711	0	-0.0771606012736387	-0.0005821862465	-0.612895752	-3.3424900602
HG00132	GBR	EUR	2	75	-0.0123485	0.0262374	0.00769273	-0.0216696	-0.00379971	0	-0.481759742723503	-0.09804639824	-0.811725296	-2.35517742
HG00133	GBR	EUR	2	36	-0.0121837	0.0258262	0.00785939	-0.0221065	-0.0025065	0	-1.16686740472627	-0.29356119414	-1.147149104	-3.7518916836
HG00134	GBR	EUR	2	38	-0.0120056	0.0259333	0.00795904	-0.0214444	-0.00263532	1	1.95299048297051	0.031553867762	-0.7766935	-2.1724704208
HG00135	GBR	EUR	2	75	-0.0121934	0.025406	0.00794954	-0.0212931	-0.00254957	0	0.76373369142246	-0.009587237568	-0.740158716	-2.7058883548
HG00136	GBR	EUR	1	61	-0.0120903	0.0246101	0.00760124	-0.0212008	8.78219e-05	0	-1.04389054711639	-0.10705462562	-0.748044912	-3.2380778344
HG00137	GBR	EUR	2	32	-0.0120434	0.024394	0.0073665	-0.0213587	0.000397841	0	1.03955880127704	0.10544261818	-0.530468936	-1.479071894
HG00138	GBR	EUR	1	55	-0.012023	0.0249789	0.00777374	-0.022315	-0.00124588	0	1.17501639322917	-0.09082854238	-0.7897174	-1.670314092
HG00139	GBR	EUR	1	58	-0.0121054	0.0257333	0.00771251	-0.0225866	-0.00246096	0	-0.0629115731015722	-0.009668090342	-0.84048566	-2.4984715072
HG00140	GBR	EUR	1	45	-0.0124784	0.0256619	0.00769762	-0.0221008	-0.00188833	0	-0.403332301055017	0.00014389185618	-0.720839432	-2.694953831
HG00141	GBR	EUR	1	76	-0.0124235	0.0261875	0.00763297	-0.021702	-0.00350489	0	0.147057062773033	-0.023500897818	-0.846329948	-2.8417541318
HG00142	GBR	EUR	1	36	-0.0119392	0.0246752	0.00756758	-0.0215858	-0.00066632	0	-0.448386436107654	0.025231029394	-0.80366944	-1.5625620058
HG00143	GBR	EUR	1	48	-0.0120075	0.0257196	0.00757663	-0.0213497	-0.00212302	0	-1.06208476453771	-0.13814718666	-0.837126392	-2.4554244176
HG00145	GBR	EUR	1	43	-0.0123478	0.025475	0.00799048	-0.0217153	-0.000697154	0	-0.156021147883422	-0.08909958868	-0.817966788	-1.5364061642
HG00146	GBR	EUR	2	28	-0.01238	0.0248962	0.00819624	-0.0215504	-0.000815774	0	0.523788729202423	-0.073825734052	-0.841695236	-1.8833485592
HG00148	GBR	EUR	1	43	-0.0122295	0.0257836	0.00788257	-0.0219498	-0.00347802	0	-0.841771445571691	-0.042384101046	-0.776545796	-2.1055260542
HG00149	GBR	EUR	1	33	-0.0119386	0.0258667	0.00831021	-0.022281	-0.00364885	0	0.75106471170444	0.059967602242	-0.615917696	-2.6118860004
HG00150	GBR	EUR	2	66	-0.0118195	0.0247142	0.00756423	-0.0211344	-2.77527e-05	0	-0.104710083717216	-0.11330662316	-0.918621076	-2.0778538392
HG00151	GBR	EUR	1	55	-0.0119689	0.0248086	0.00780988	-0.0208971	-0.000998267	0	-0.610625324525892	-0.10765870774	-0.731815436	-2.038562493
HG00152	GBR	EUR	1	52	-0.0117617	0.0248047	0.00716796	-0.0214461	0.000144876	0	-1.06403086736831	-0.063269945876	-0.734603848	-3.3232186818
HG00154	GBR	EUR	2	39	-0.0121393	0.0252463	0.00853662	-0.0224278	-0.000426655	1	1.51405433704625	0.16716668594	-0.541650528	-2.0435019034
HG00155	GBR	EUR	1	42	-0.0122448	0.0249542	0.00836598	-0.021951	-0.000647263	0	0.282678042872552	-0.020867924288	-0.562081584	-2.3810837318
HG00156	GBR	EUR	1	76	-0.012189	0.025938	0.00784292	-0.0219454	-0.0022906	0	-0.800445202231693	-0.056989511044	-0.819104508	-2.520155007
HG00157	GBR	EUR	1	50	-0.0121914	0.0256647	0.00829495	-0.0229572	-0.00160917	0	1.05845280596538	-0.075309689544	-0.778823232	-1.6539538946
HG00158	GBR	EUR	2	37	-0.0122475	0.024983	0.00838975	-0.021295	-0.000889517	0	0.315395005594105	-0.0022470003916	-0.7331807	-3.0977972994
HG00159	GBR	EUR	1	32	-0.012223	0.0253312	0.00854802	-0.022185	-0.00115722	0	0.587885133395342	-0.064735139486	-0.72054602	-1.92073964
HG00160	GBR	EUR	1	74	-0.0122796	0.025211	0.00830537	-0.0213207	-0.000935642	0	0.215154883912481	0.072197657018	-0.513145652	-0.7861980196
HG00171	FIN	EUR	2	75	-0.0129424	0.0206421	0.00946591	-0.0199817	-0.00107649	0	-1.60551818978779	-0.14965924188	-0.824473748	-1.5017983004
HG00173	FIN	EUR	2	34	-0.0126709	0.0212335	0.00925386	-0.0203227	0.000100176	0	0.749446954075776	-0.09262059658	-0.80664348	-1.516245436
HG00174	FIN	EUR	2	24	-0.0123926	0.0222633	0.00918759	-0.020709	-0.000834978	0	-0.295480462481739	-0.15398793618	-0.7844779	-2.786512073
HG00176	FIN	EUR	2	60	-0.0127336	0.0212609	0.00927025	-0.0205851	-0.00252159	0	-0.512396347979056	-0.29519339374	-0.885437576	-2.0016704718
HG00177	FIN	EUR	2	36	-0.0128952	0.0203761	0.0087058	-0.0198835	0.000525043	0	0.72457140657234	-0.020086655964	-0.671418472	-1.3065060418
HG00178	FIN	EUR	2	68	-0.0128682	0.0220912	0.00915918	-0.02154	-0.00262269	0	0.717418359345996	-0.15148915638	-1.013510916	-2.225006041
HG00179	FIN	EUR	2	72	-0.0125631	0.0209749	0.0089113	-0.019897	-0.00139287	0	0.113345294775599	-0.09133839442	-0.829120436	-2.8268079366
HG00180	FIN	EUR	2	24	-0.0127261	0.0207432	0.00903158	-0.0200931	0.000254362	0	-0.271835331433178	-0.034231768848	-0.721007096	-2.0292659084
HG00181	FIN	EUR	1	44	-0.0119277	0.0220776	0.00757365	-0.020681	-0.00181492	0	-0.0299308585087841	-0.04436596155	-0.686681884	-3.821133004
HG00182	FIN	EUR	1	36	-0.0126224	0.0210395	0.00913681	-0.0201495	-0.000869798	0	-0.325572988609664	0.016813927498	-0.865383764	-3.3935029088
HG00183	FIN	EUR	1	40	-0.0126206	0.0213216	0.00916153	-0.0204951	-6.08109e-05	0	-0.249386318314154	-0.25691915446	-0.816322084	-3.307517499
HG00185	FIN	EUR	1	70	-0.0128952	0.0210912	0.00855648	-0.0203773	2.29663e-05	0	0.45654464259296	-0.021609144828	-0.64269204	-1.2561778006
HG00186	FIN	EUR	1	66	-0.012633	0.0210172	0.00870309	-0.0200979	0.000240648	0	-1.16786529166837	-0.20685101106	-0.932818624	-3.5765234198
HG00187	FIN	EUR	1	23	-0.0124774	0.0200866	0.00943758	-0.0200763	-0.000305639	0	-0.273517890189741	-0.1391197757	-0.743587844	-2.8079268484
HG00188	FIN	EUR	1	64	-0.0128922	0.0223475	0.00884672	-0.0206918	-0.00185231	0	-0.981443282395187	-0.16679649634	-0.872200104	-1.6390716814
HG00189	FIN	EUR	1	64	-0.0127367	0.0215002	0.00917978	-0.0204588	-0.0010836	0	0.434654204487754	-0.072115626368	-0.844076464	-3.136013748
HG00190	FIN	EUR	1	35	-0.0124439	0.0217165	0.00831151	-0.0203135	-0.000209589	0	1.14803660557613	-0.021201094928	-0.709013132	-3.2556664862
HG00231	GBR	EUR	2	69	-0.0121423	0.0253481	0.00798647	-0.0214325	-0.00282108	0	0.194005600042641	-0.12627587926	-0.846559488	-3.275366544
HG00232	GBR	EUR	2	56	-0.0102359	0.017589	0.00411636	-0.0150609	0.00771613	0	-0.0159265225177445	-0.12498694638	-0.787557728	-1.908391114
HG00233	GBR	EUR	2	28	-0.0118051	0.0247554	0.00732728	-0.0198876	-0.000281103	0	0.42910800143173	-0.1626184019	-0.859056444	-2.5232325412
HG00234	GBR	EUR	1	52	-0.01221	0.0252755	0.00749216	-0.0212841	-0.00152772	0	-0.69779005455342	-0.0905071505	-0.79154374	-2.024294507
HG00235	GBR	EUR	2	32	-0.0121782	0.0254183	0.00714709	-0.020748	-0.00049449	0	0.91531489286884	0.08522269396	-0.545900012	-0.7577772152
HG00236	GBR	EUR	2	67	-0.0119644	0.0253916	0.0081287	-0.0227687	-0.0013941	1	1.3211945006471	0.083311253614	-0.555897976	-0.7229134234
HG00237	GBR	EUR	2	51	-0.0122425	0.0255488	0.00777637	-0.0222466	-0.00224722	0	0.576948202611742	-0.10058135566	-0.789915004	-2.7667800242
HG00238	GBR	EUR	2	33	-0.0119413	0.0252254	0.00791146	-0.0210048	-0.00282462	0	0.798407514499119	0.07394284858	-0.540592648	-2.9299725134
HG00239	GBR	EUR	2	35	-0.012048	0.026238	0.00810848	-0.0220464	-0.00270197	0	1.10777993388981	-0.065393740438	-0.723651796	-1.3038443906
HG00240	GBR	EUR	2	56	-0.0122447	0.0257956	0.00778973	-0.0214805	-0.0033781	0	0.930166179269795	0.10399972008	-0.61315124	-1.6530965358
HG00242	GBR	EUR	1	80	-0.0119531	0.0253179	0.00799333	-0.0213068	-0.00168779	0	-0.486176976569044	-0.1279594006	-0.881006456	-2.889331147
HG00243	GBR	EUR	1	34	-0.0122574	0.0258415	0.00780723	-0.0215862	-0.00135211	0	0.924066557013668	0.044852760874	-0.735272508	-2.0593502448
HG00244	GBR	EUR	1	49	-0.0119513	0.025483	0.00763495	-0.0214749	-0.00241722	0	1.00947235555184	-0.09442022284	-0.753162656	-1.6717152978
HG00245	GBR	EUR	2	56	-0.0119119	0.0248121	0.00756112	-0.0212075	0.000304402	0	0.325339462071523	-0.11080363666	-0.804130516	-2.6996757026
HG00246	GBR	EUR	1	23	-0.0119206	0.0243714	0.00702657	-0.0210173	-0.000122198	0	1.18068812941395	0.043506280338	-0.634336784	-1.9797118494
HG00249	GBR	EUR	2	28	-0.0104514	0.0173839	0.00422711	-0.0154227	0.00619124	1	1.89660059053908	-0.051843959738	-0.931309648	-3.5397529644
HG00250	GBR	EUR	2	45	-0.0124952	0.0256277	0.00832512	-0.0225472	-0.0019824	0	1.16351093042149	-0.11414796316	-0.700290612	-2.5350116274
HG00251	GBR	EUR	1	28	-0.0121925	0.0253414	0.00777403	-0.0214117	-0.00249221	0	0.171769510467778	-0.07018752749	-0.84243176	-1.786121512
HG00252	GBR	EUR	1	57	-0.0124532	0.0254646	0.00811046	-0.0221326	-0.00273524	0	-0.275598058000704	-0.13152079282	-0.929682908	-3.2510277912
HG00253	GBR	EUR	2	31	-0.0123877	0.0255608	0.00821495	-0.0222469	-0.00174216	1	1.62732632580044	-0.020183999002	-0.643085252	-0.982923475
HG00254	GBR	EUR	2	50	-0.0121264	0.0253268	0.00820478	-0.0217183	-0.00134904	0	0.443664579704837	-0.013040517598	-0.665773784	-1.317133452
HG00255	GBR	EUR	2	22	-0.0119453	0.0254455	0.00794713	-0.0212615	-0.00256227	0	1.3203544429541	-0.05409521731	-0.814373988	-1.6323919606
HG00256	GBR	EUR	1	76	-0.012361	0.0257778	0.00825586	-0.0226883	-0.00274904	0	-1.77784416778064	0.051171056006	-0.747683636	-2.8159885804
HG00257	GBR	EUR	2	74	-0.0122115	0.0251873	0.0076762	-0.0212376	-0.00169217	0	-0.522465356009741	-0.09981994296	-0.995918172	-2.2400802002
HG00258	GBR	EUR	2	75	-0.0122185	0.0256386	0.00886458	-0.0228051	-0.00227539	0	1.1308105882287	-0.038913489412	-0.710719712	-1.957913182
HG00259	GBR	EUR	2	40	-0.0121918	0.025655	0.00809577	-0.0229907	-0.00256963	0	0.892414014410026	-0.038946974744	-0.71290134	-3.97040301
HG00260	GBR	EUR	1	23	-0.0123977	0.0254468	0.00814964	-0.022219	-0.00199483	1	1.7705240433074	-0.08946893694	-0.90878878	-2.5709183258
HG00261	GBR	EUR	2	25	-0.0122896	0.025112	0.00761535	-0.0219846	-0.0034686	0	0.691837859202645	-0.12112435444	-0.828655368	-2.7929870514
HG00262	GBR	EUR	2	36	-0.0122351	0.0255462	0.0082523	-0.0215013	-0.000400508	0	0.666873987967213	0.12190848332	-0.494397224	-0.9838000284
HG00263	GBR	EUR	2	79	-0.0122421	0.0251268	0.00799493	-0.021336	-0.000974167	0	0.251195454259467	-0.080948855028	-0.6612249	-2.7014288094
HG00264	GBR	EUR	1	56	-0.0120677	0.0253453	0.00791943	-0.0218951	-0.00153012	0	-0.752242946315675	-0.16238114402	-0.978267544	-1.719804169
HG00265	GBR	EUR	1	62	-0.0122381	0.0259836	0.00808477	-0.0219178	-0.00146882	0	-1.14620546560173	-0.17851804522	-0.913403532	-1.9094532152
HG00266	FIN	EUR	2	55	-0.0124539	0.0213165	0.00857585	-0.0205285	-0.000104446	0	-0.0156457524189371	-0.083930227452	-0.887908624	-3.0867348116
HG00267	FIN	EUR	1	41	-0.0127634	0.0209243	0.00889969	-0.0206114	-0.000545819	0	-0.00755788901582116	-0.071439609678	-0.686121008	-1.893483308
HG00268	FIN	EUR	2	25	-0.0127654	0.0228542	0.00890657	-0.021657	-0.00233802	0	-0.83920801410062	-0.042409341246	-0.698188824	-1.4669728978
HG00269	FIN	EUR	2	20	-0.0126901	0.0213834	0.00913327	-0.0204312	3.97322e-05	0	0.0718073936027473	-0.12118577226	-0.8185097	-3.5591842978
HG00270	FIN	EUR	2	44	-0.0128074	0.022885	0.00845693	-0.021648	-0.00330673	0	-0.136698287998634	-0.08680777852	-0.817196332	-2.4166129364
HG00271	FIN	EUR	1	66	-0.0129299	0.0205022	0.00933899	-0.0204788	-0.00126272	0	-0.474586037971187	-0.09366301684	-0.826361964	-2.1015143828
HG00272	FIN	EUR	2	49	-0.0125864	0.0196083	0.00859762	-0.0200937	0.000125041	0	-1.1483912408171	-0.10790774438	-0.745837336	-1.6090321324
HG00273	FIN	EUR	1	28	-0.0129464	0.0222588	0.0092768	-0.0218118	-0.00185373	1	1.8013344368665	-0.079830377632	-0.735088876	-1.1602111988
HG00274	FIN	EUR	2	37	-0.0126825	0.0221079	0.0093569	-0.0211062	-0.000262405	0	0.247294771344306	-0.04131736606	-0.799705384	-1.9209379842
HG00275	FIN	EUR	2	56	-0.0126714	0.0219683	0.00894908	-0.0216959	-0.00164908	0	0.690088709916501	-0.14257852444	-0.923443412	-1.3274537486
HG00276	FIN	EUR	2	57	-0.012667	0.0213876	0.00928536	-0.020631	-0.000378885	0	1.15950535262578	-0.13311765614	-0.832028608	-2.2690832408
HG00277	FIN	EUR	1	51	-0.0127684	0.0222888	0.00887108	-0.0208331	0.000402419	1	1.59764937166587	-0.00965059047	-0.694306604	-2.7351281288
HG00278	FIN	EUR	1	29	-0.0127559	0.0211587	0.00834147	-0.0203411	0.00172711	0	-1.44089584072285	-0.13343147596	-0.762368208	-2.5111719342
HG00280	FIN	EUR	1	58	-0.0127158	0.0213129	0.00893067	-0.0218864	0.000492244	0	-0.922876371418508	-0.012287518298	-0.825886916	-2.6740189206
HG00281	FIN	EUR	2	51	-0.0127831	0.0211643	0.00932493	-0.0200401	0.000150894	0	0.941798863453685	-0.042361553134	-0.792308208	-0.9885602892
HG00282	FIN	EUR	2	68	-0.0127825	0.0211541	0.00882612	-0.0217149	0.000101355	0	0.556869972365918	0.015489658338	-0.597518568	-1.2202391112
HG00284	FIN	EUR	1	34	-0.0129935	0.0215699	0.00904542	-0.0211367	0.00098393	0	-1.08033437949465	-0.16494807236	-0.952888404	-3.6348366146
HG00285	FIN	EUR	2	43	-0.012933	0.0204596	0.00916143	-0.0210248	-0.000389648	0	0.613744578398204	-0.21221287088	-0.959491172	-2.4424744608
HG00288	FIN	EUR	2	32	-0.0119787	0.0230039	0.00132337	-0.012601	-0.0425564	0	0.345019753370971	-0.19118778428	-0.772426052	-2.2796914564
HG00290	FIN	EUR	1	48	-0.0119475	0.0220314	0.00226581	-0.0124074	-0.0441546	0	-0.713568907175449	-0.09985191388	-0.758821316	-0.52752711126
HG00302	FIN	EUR	2	57	-0.0119856	0.0226879	0.00185249	-0.0119118	-0.0396929	0	0.101968048616469	-0.13446884818	-0.818785148	-4.2366193156
HG00303	FIN	EUR	1	39	-0.0115727	0.0210773	0.0014228	-0.0115662	-0.0374556	0	-0.823499936266247	-0.12820254786	-0.699989216	-2.308822461
HG00304	FIN	EUR	2	44	-0.011631	0.0218812	0.00174404	-0.0118361	-0.0380836	0	-1.10473836878699	-0.19955491058	-0.86707238	-3.0164057972
HG00306	FIN	EUR	2	70	-0.012505	0.0222711	0.008253	-0.020319	0.000765357	0	-0.650120998740336	-0.10783538914	-0.83373918	-2.753401388
HG00308	FIN	EUR	1	64	-0.0125767	0.0206324	0.00880741	-0.0200598	0.000239247	0	0.36246405213429	0.026460479536	-0.742478068	-1.786121512
HG00309	FIN	EUR	2	38	-0.0127486	0.0219559	0.00957831	-0.0209436	-0.0022199	0	0.532999131019465	-0.13223088378	-0.9058846	-1.5297520362
HG00310	FIN	EUR	1	79	-0.0126108	0.02229	0.00895762	-0.0211185	-4.75266e-05	0	-0.0288534179959617	-0.046024495092	-0.78463758	-2.5802085122
HG00311	FIN	EUR	1	78	-0.0125229	0.0223898	0.00872607	-0.0203283	-0.000416661	0	-0.865297150959549	-0.15509177426	-0.953716744	-3.0119910392
HG00312	FIN	EUR	1	69	-0.0124022	0.0215154	0.00806051	-0.0195779	2.20877e-05	0	-0.550312493549281	-0.11911018648	-0.905257856	-2.199125322
HG00313	FIN	EUR	2	24	-0.0128071	0.0206284	0.0091884	-0.0207922	-9.6886e-05	0	0.99459735014633	-0.15111812544	-0.789412012	0.6676777628
HG00315	FIN	EUR	2	62	-0.0128149	0.0209128	0.00923522	-0.0202868	0.000440813	0	-0.60488573697503	-0.24486106958	-1.02997592	-1.6778063842
HG00318	FIN	EUR	2	28	-0.0126961	0.0217566	0.00833131	-0.0210306	0.000354247	0	0.076142963004737	-0.19667332108	-0.978936204	-3.2446167948
HG00319	FIN	EUR	2	23	-0.0125886	0.0211806	0.00907084	-0.0209856	0.000860588	0	0.61561838723726	-0.072034016388	-0.830747176	-1.5790629636
HG00320	FIN	EUR	2	25	-0.0126777	0.021311	0.00901009	-0.0204701	0.000687797	0	0.63431096216129	-0.11812666002	-0.85816024	-1.5655307706
HG00321	FIN	EUR	1	25	-0.012895	0.02083	0.00938293	-0.0212461	-0.00118241	0	-1.14286531119315	-0.16477391498	-0.860912724	-3.3898815276
HG00323	FIN	EUR	2	63	-0.012856	0.02074	0.00904958	-0.0211229	-0.000112177	0	0.231489623245321	-0.09066027438	-0.741955116	-1.6603201036
HG00324	FIN	EUR	2	40	-0.012792	0.021204	0.00965781	-0.0211855	-0.000496529	0	-0.373094258430499	-0.1811657422	-0.813872992	-1.7909713476
HG00325	FIN	EUR	1	30	-0.0131717	0.0207176	0.009809	-0.0213014	-0.000478087	0	-1.6101994426062	-0.13850391482	-0.7691586	-2.3954924782
HG00326	FIN	EUR	2	54	-0.0128482	0.0212762	0.00928515	-0.0215387	0.000360702	1	1.87213559475592	-0.08917110258	-0.702278628	-1.560808899
HG00327	FIN	EUR	2	23	-0.0125154	0.0206519	0.00863091	-0.0200276	0.000731182	1	1.53894647418383	-0.038791410978	-0.822547608	-1.4371061002
HG00328	FIN	EUR	2	27	-0.0129386	0.0217176	0.00976974	-0.0203204	-0.000826003	0	-0.036740683627776	-0.16378954718	-0.719585944	-0.911071689
HG00329	FIN	EUR	1	67	-0.012717	0.0226726	0.00907843	-0.0216591	-0.000563906	0	-0.903707953774419	-0.09057361636	-0.804745284	-1.9712150398
HG00330	FIN	EUR	2	68	-0.0126899	0.0215775	0.00941413	-0.021101	-0.000588176	0	-0.132977042387055	-0.050008744796	-0.675105084	-2.4175406754
HG00331	FIN	EUR	2	32	-0.0128696	0.021557	0.00911145	-0.0209254	-0.00124324	0	0.93644061029098	0.01327087649	-0.646472464	-2.9980493614
HG00332	FIN	EUR	2	63	-0.0127637	0.0216547	0.00879438	-0.0200109	-0.000388705	0	0.977078009492875	-0.027098383524	-0.799978836	-2.0132000282
HG00334	FIN	EUR	2	65	-0.0126158	0.022766	0.00933869	-0.0222072	-0.000601081	0	-0.583413813093768	-0.083339690906	-0.839393848	-1.0321320312
HG00335	FIN	EUR	1	55	-0.0129497	0.0224753	0.00964489	-0.0215269	-0.00277729	0	-0.143543090158203	-0.13859646222	-0.759036884	-2.7241168266
HG00336	FIN	EUR	1	53	-0.0129358	0.0211342	0.00896316	-0.0209506	0.000720653	0	-0.191833774207599	-0.10508000064	-0.841471684	-2.0430348348
HG00337	FIN	EUR	2	75	-0.01296	0.0227106	0.00931069	-0.0214675	-0.00205284	0	-0.642568398307962	0.013299734452	-0.799631532	-2.035107465
HG00338	FIN	EUR	1	27	-0.012514	0.0210836	0.0083682	-0.0206575	0.00112285	0	-0.53550492992246	-0.075163717054	-0.85198262	-1.7127213616
HG00339	FIN	EUR	2	71	-0.0125561	0.0209266	0.00834791	-0.0203167	0.000662829	0	-1.15043676965903	-0.23249841962	-0.962105932	-2.4748941402
HG00341	FIN	EUR	1	79	-0.0121345	0.0216771	0.00749056	-0.0197858	0.000271626	0	0.0912321607696746	0.0008743457682	-0.645873664	-1.7256969112
HG00342	FIN	EUR	1	35	-0.0129458	0.0213494	0.00952393	-0.0213859	-0.0010312	0	-0.126587045208973	-0.009286458518	-0.621033444	0.11403000004
HG00343	FIN	EUR	2	40	-0.012629	0.0213207	0.00887792	-0.0208776	0.000312668	1	2.07299106931395	-0.0052502897226	-0.759232492	0.5271636935
HG00344	FIN	EUR	2	57	-0.0125041	0.0227928	0.00815253	-0.0208123	0.00146043	0	0.28828408693194	0.035103733624	-0.591546536	-0.6609532546
HG00345	FIN	EUR	1	42	-0.0130353	0.0222447	0.00907524	-0.0210726	-0.00246293	0	-0.988808261045693	-0.15234900586	-0.746490028	-2.0400468754
HG00346	FIN	EUR	2	60	-0.0128801	0.0225656	0.00928006	-0.0219091	-0.00298603	0	0.0474450673565401	-0.029879264626	-0.67646436	-1.8147086696
HG00349	FIN	EUR	2	49	-0.0128141	0.0211149	0.0091767	-0.0196634	0.000375703	0	0.219705137303613	-0.1078850282	-0.787919004	-2.3137042876
